NUMBER,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE
187,2022,2022-09-01,2035,4,-117.05751037597656,32.7669563293457
188,2022,2022-08-02,609,2,-117.08206939697266,32.97899627685547
189,2022,2022-08-12,1330,5,-117.14640045166016,32.74851989746094
190,2022,2022-08-10,755,3,-117.23063659667967,32.73722839355469
191,2022,2022-08-12,1748,5,-117.09265899658205,32.582889556884766
192,2022,2022-08-04,2142,4,-117.159423828125,32.737651824951165
193,2022,2022-08-21,1351,7,-117.11478424072266,32.70125961303711
194,2022,2022-08-31,607,3,-117.16561889648438,32.71355056762695
195,2022,2022-08-21,1225,7,-117.06285095214844,32.7853889465332
196,2022,2022-08-22,1415,1,-117.16649627685548,32.7198600769043
197,2022,2022-09-10,1445,6,-117.13224792480467,32.9144287109375
198,2022,2022-09-27,2051,2,-117.10191345214844,32.755069732666016
199,2022,2022-08-25,22,4,-117.12791442871094,32.78403091430664
200,2022,2022-08-21,1801,7,-117.12770080566406,32.755279541015625
201,2022,2022-09-09,140,5,-117.05224609375,32.67060089111328
202,2022,2022-09-09,626,5,-117.25151824951172,32.832157135009766
203,2022,2022-09-27,1500,2,-117.2168197631836,32.851539611816406
204,2022,2022-09-26,1107,1,-117.17601013183594,32.737327575683594
205,2022,2022-10-10,1435,1,-117.14086151123048,32.7158203125
206,2022,2022-09-12,1944,1,-117.08505249023438,32.7123908996582
207,2022,2022-09-27,2109,2,-117.22779083251952,32.72611999511719
208,2022,2022-09-27,1730,2,-117.1449966430664,32.754024505615234
209,2022,2022-10-07,2318,5,-117.2427978515625,32.749691009521484
210,2022,2022-08-15,2035,1,-117.13055419921876,32.83134078979492
211,2022,2022-09-07,712,3,-117.19490051269533,32.83531188964844
212,2022,2022-09-15,1451,4,-117.15325927734376,32.83085632324219
213,2022,2022-09-12,1249,1,-117.17945861816406,32.77149200439453
214,2022,2022-08-21,1222,7,-117.05584716796876,32.701290130615234
215,2022,2022-10-13,1616,4,-117.1424560546875,32.717899322509766
216,2022,2022-09-24,2255,6,-117.1254425048828,32.687618255615234
217,2022,2022-09-22,1312,4,-117.0766830444336,33.015140533447266
218,2022,2022-10-16,1658,7,-117.13815307617188,32.71162033081055
219,2022,2022-10-17,1658,1,-117.07875061035156,32.707088470458984
220,2022,2022-10-18,740,2,-117.05802917480467,32.58369064331055
221,2022,2022-12-14,1250,3,-117.12718200683594,32.80970764160156
222,2022,2022-11-15,1450,2,-117.17105865478516,32.90504455566406
223,2022,2022-11-24,1825,4,-117.17324829101562,32.72434616088867
224,2022,2022-12-03,1830,6,-117.08065032958984,32.79274368286133
225,2022,2022-12-11,600,7,-117.09690856933594,32.77238082885742
226,2022,2022-09-17,1740,6,-117.05480194091795,32.68616485595703
227,2022,2022-11-29,1745,2,-117.10882568359376,32.74967956542969
228,2022,2022-11-03,1157,4,-117.10108184814452,32.73184967041016
229,2022,2022-10-24,625,1,-117.09808349609376,32.583778381347656
230,2022,2022-10-30,800,7,-117.15526580810548,32.746429443359375
231,2022,2022-10-28,515,5,-117.01945495605467,32.712013244628906
232,2022,2022-10-29,2135,6,-117.22843933105467,32.922367095947266
233,2022,2022-10-29,1000,6,-117.09365081787108,32.70664978027344
234,2022,2022-10-30,1436,7,-117.05223083496094,32.69693756103516
235,2022,2022-11-23,2029,3,-117.16471862792967,32.71778106689453
236,2022,2022-11-02,1237,3,-116.93199920654295,32.5567626953125
237,2022,2022-11-16,1042,3,-117.06233215332033,32.56696701049805
238,2022,2022-11-06,1320,7,-117.15113067626952,32.963191986083984
239,2022,2022-11-12,1615,6,-117.2304458618164,32.72319030761719
240,2022,2022-11-09,1203,3,-117.14669036865234,32.77421951293945
241,2022,2022-11-08,1520,2,-117.15940856933594,32.73661804199219
242,2022,2022-08-06,1529,6,-117.16869354248048,32.909934997558594
243,2022,2022-11-10,2235,4,-117.1694107055664,32.780982971191406
244,2022,2022-11-16,2042,3,-117.20753479003906,32.866912841796875
245,2022,2022-12-13,1403,2,-117.16268157958984,32.74147033691406
246,2022,2022-11-20,1925,7,-117.20947265625,32.750396728515625
247,2022,2022-01-09,2125,7,-117.17561340332033,32.69294738769531
248,2022,2022-01-06,1455,4,-117.20388793945312,32.88792037963867
249,2022,2022-01-08,1946,6,-117.10189819335938,32.720001220703125
250,2022,2022-01-30,410,7,-117.03649139404295,32.593223571777344
251,2022,2022-01-31,645,1,-117.11080932617188,32.76713562011719
252,2022,2022-02-11,1245,5,-117.05179595947266,32.55397033691406
253,2022,2022-02-14,1810,1,-117.14739990234376,32.76682662963867
254,2022,2022-02-05,2118,6,-117.12057495117188,32.70060348510742
255,2022,2022-01-28,645,5,-117.1730728149414,32.75991439819336
256,2022,2022-02-12,1830,6,-117.15879058837892,32.754852294921875
257,2022,2022-02-20,1900,7,-117.08099365234376,32.57463836669922
258,2022,2022-02-16,1500,3,-117.2467803955078,32.963558197021484
259,2022,2022-02-09,1534,3,-117.09862518310548,32.96015167236328
260,2022,2022-02-26,210,6,-117.11205291748048,32.86173248291016
261,2022,2022-02-26,1110,6,-117.2112045288086,32.758987426757805
262,2022,2022-03-01,855,2,-117.18458557128906,32.858352661132805
263,2022,2022-02-28,855,1,-117.1208267211914,32.84000778198242
264,2022,2022-01-17,42,1,-117.07260894775392,32.72623062133789
265,2022,2022-01-31,730,1,-117.11215209960938,32.732330322265625
266,2022,2022-03-21,740,1,-117.11219024658205,32.773468017578125
267,2022,2022-03-20,1614,7,-117.1640167236328,32.72201919555664
268,2022,2022-03-07,320,1,-117.17192840576172,32.76039123535156
269,2022,2022-04-05,1157,2,-117.15235900878906,32.810543060302734
270,2022,2022-04-06,1510,3,-117.15757751464844,32.723663330078125
271,2022,2022-04-06,1420,3,-117.19376373291016,32.86840057373047
272,2022,2022-04-12,1845,2,-117.14950561523438,32.79118728637695
273,2022,2022-04-14,1638,4,-117.19000244140624,32.74590301513672
274,2022,2022-03-16,1545,3,-117.1435317993164,32.832950592041016
275,2022,2022-04-12,1705,2,-117.16363525390624,32.84095764160156
276,2022,2022-04-08,1440,5,-117.07671356201172,32.72343826293945
277,2022,2022-04-15,1525,5,-117.16285705566406,32.82215118408203
278,2022,2022-04-16,230,6,-117.1285400390625,32.71382522583008
279,2022,2022-04-22,2210,5,-117.08159637451172,32.57572555541992
280,2022,2022-04-02,407,6,-117.09580230712892,32.62929153442383
281,2022,2022-04-25,1620,1,-117.20889282226562,32.79600524902344
282,2022,2022-03-13,206,7,-117.11238861083984,32.741416931152344
283,2022,2022-04-27,1635,3,-117.11624908447266,32.90583801269531
284,2022,2022-04-27,623,3,-117.11627197265624,32.91068649291992
285,2022,2022-05-11,818,3,-117.11391448974608,32.73640823364258
286,2022,2022-05-10,1614,2,-117.15421295166016,32.80536651611328
287,2022,2022-05-16,5,1,-117.23818206787108,32.92190170288086
288,2022,2022-05-11,1740,3,-117.1140365600586,32.734920501708984
289,2022,2022-05-12,811,4,-117.16252899169922,32.84042739868164
290,2022,2022-05-05,1345,4,-117.1860809326172,32.74405670166016
291,2022,2022-05-17,1625,2,-117.09739685058594,32.707801818847656
292,2022,2022-05-25,1329,3,-117.20548248291016,32.765953063964844
293,2022,2022-05-20,2340,5,-117.09703063964844,32.70741653442383
294,2022,2022-05-28,2119,6,-117.03302764892578,32.56829833984375
295,2022,2022-05-31,547,2,-117.2010498046875,32.87525939941406
296,2022,2022-06-03,1845,5,-117.11207580566406,32.732269287109375
297,2022,2022-06-04,2035,6,-117.18712615966795,32.74475860595703
298,2022,2022-06-07,1740,2,-117.169921875,32.72956466674805
299,2022,2022-06-16,1720,4,-117.17498016357422,32.84197998046875
300,2022,2022-06-19,350,7,-117.13778686523438,32.780033111572266
301,2022,2022-06-19,1859,7,-117.03491973876952,32.54607391357422
302,2022,2022-06-24,1045,5,-117.06336975097656,32.77938461303711
303,2022,2022-06-30,940,4,-117.22431182861328,32.900493621826165
304,2022,2022-06-29,132,3,-117.2414779663086,32.93375015258789
305,2022,2022-07-08,625,5,-117.11615753173828,32.91810989379883
306,2022,2022-07-13,730,3,-117.13925933837892,32.78158950805664
307,2022,2022-07-12,1600,2,-117.14358520507812,32.784454345703125
308,2022,2022-07-20,1635,3,-117.0947723388672,32.690677642822266
309,2022,2022-07-25,630,1,-117.15395355224608,32.72415542602539
310,2022,2022-07-16,1510,6,-117.24279022216795,32.94588088989258
311,2022,2022-07-16,1400,6,-117.15724182128906,32.764434814453125
312,2022,2022-04-17,535,7,-117.11619567871094,32.90281295776367
313,2022,2022-07-31,817,7,-116.95058441162108,32.56378936767578
314,2022,2022-08-06,1000,6,-117.21198272705078,32.7588996887207
315,2022,2022-08-15,545,1,-117.12178802490234,32.747982025146484
316,2022,2022-06-01,2011,3,-117.11028289794922,32.76597595214844
317,2022,2022-08-15,1330,1,-117.09573364257812,32.71881866455078
318,2022,2022-08-24,855,3,-117.0784149169922,32.77963638305664
319,2022,2022-08-19,1733,5,-117.12237548828124,32.77632522583008
320,2022,2022-08-30,725,2,-117.21244049072266,32.80229187011719
321,2022,2022-09-08,848,4,-117.21088409423828,32.94554901123047
322,2022,2022-08-31,1830,3,-117.23396301269533,32.83530044555664
323,2022,2022-09-01,749,4,-117.2231674194336,32.90336227416992
324,2022,2022-08-21,1350,7,-117.04769897460938,32.56842803955078
325,2022,2022-09-15,720,4,-117.1479721069336,32.78799819946289
326,2022,2022-04-24,10,7,-117.10189819335938,32.71328353881836
327,2022,2022-09-22,1909,4,-117.15479278564452,32.721431732177734
328,2022,2022-09-23,1439,5,-117.11978149414062,32.84417724609375
329,2022,2022-09-29,115,4,-117.11750793457033,32.742374420166016
330,2022,2022-09-25,1517,7,-117.10124969482422,32.71847152709961
331,2022,2022-10-01,1648,6,-117.19330596923828,32.74750518798828
332,2022,2022-10-10,1225,1,-117.15660858154295,32.797977447509766
333,2022,2022-10-10,1647,1,-117.10432434082033,33.01394271850586
334,2022,2022-10-11,441,2,-117.08927154541016,32.97474670410156
335,2022,2022-10-13,928,4,-117.1730728149414,32.83942794799805
336,2022,2022-10-18,2153,2,-117.0975341796875,32.707942962646484
337,2022,2022-10-21,1855,5,-117.13384246826172,32.77418899536133
338,2022,2022-10-20,1400,4,-117.15776824951172,32.75306701660156
339,2022,2022-10-27,810,4,-117.11043548583984,32.77875900268555
340,2022,2022-10-28,910,5,-117.20364379882812,32.759639739990234
341,2022,2022-10-21,2000,5,-117.10214233398438,32.779510498046875
342,2022,2022-11-08,2050,2,-117.17527770996094,32.84614181518555
343,2022,2022-09-21,612,3,-117.11531066894533,32.916259765625
344,2022,2022-10-06,1307,4,-117.20513153076172,32.761409759521484
345,2022,2022-10-26,1148,3,-117.05152130126952,32.65074920654297
346,2022,2022-10-30,1655,7,-117.12051391601562,32.70295715332031
347,2022,2022-07-29,54,5,-117.11384582519533,32.78814697265625
348,2022,2022-11-08,550,2,-117.13609313964844,32.71330261230469
349,2022,2022-11-20,1530,7,-117.13674926757812,32.7785758972168
350,2022,2022-11-28,1125,1,-117.2047119140625,32.761932373046875
351,2022,2022-11-26,54,6,-117.22914123535156,32.87137985229492
352,2022,2022-12-05,538,1,-117.11732482910156,32.71720504760742
353,2022,2022-12-05,1949,1,-117.20467376708984,32.76177978515625
354,2022,2022-12-06,1722,2,-117.1682357788086,32.72764587402344
355,2022,2022-12-07,1055,3,-117.15483856201172,32.81061935424805
356,2022,2022-12-08,35,4,-117.16301727294922,32.761619567871094
357,2022,2022-12-09,956,5,-117.24359893798828,32.95018768310547
358,2022,2022-12-09,1855,5,-117.05706024169922,32.642417907714844
359,2022,2022-12-10,1642,6,-117.10582733154295,32.947662353515625
360,2022,2022-12-11,1410,7,-117.13092803955078,32.77286148071289
361,2022,2022-12-12,920,1,-117.00296783447266,32.5660400390625
362,2022,2022-11-12,300,6,-117.14752197265624,32.70676803588867
363,2022,2022-12-15,2225,4,-117.15825653076172,32.76418685913086
364,2022,2022-12-21,738,3,-117.20417785644533,32.88850021362305
365,2022,2022-12-21,1543,3,-117.12311553955078,32.75065612792969
366,2022,2022-12-23,930,5,-117.08524322509766,32.6786003112793
367,2022,2022-12-11,1415,7,-117.13272857666016,32.71247863769531
368,2022,2022-01-03,253,1,-117.13631439208984,32.70411682128906
369,2022,2022-02-03,2140,4,-117.25379943847656,32.79103088378906
370,2022,2022-01-23,1840,7,-117.21343994140624,32.82838439941406
371,2022,2022-01-25,926,2,-117.16117095947266,32.8077507019043
372,2022,2022-01-13,540,4,-117.20614624023438,32.82770538330078
373,2022,2022-01-09,1757,7,-117.09873199462892,32.749614715576165
374,2022,2022-01-16,110,7,-117.12032318115234,32.745853424072266
375,2022,2022-01-10,1705,1,-117.06201171875,32.583770751953125
376,2022,2022-01-05,1240,3,-117.0327606201172,32.59486770629883
377,2022,2022-01-06,1833,4,-117.1266632080078,32.83135223388672
378,2022,2022-01-02,1354,7,-117.12677764892578,32.96334457397461
379,2022,2022-01-01,115,6,-116.43363189697266,34.305137634277344
380,2022,2022-03-02,1621,3,-117.22322082519533,32.90128326416016
381,2022,2022-01-29,1658,6,-117.2534408569336,32.786190032958984
382,2022,2022-02-05,902,6,-117.08683013916016,32.75678634643555
383,2022,2022-02-05,825,6,-117.24661254882812,32.75200653076172
384,2022,2022-02-06,1447,7,-117.19513702392578,32.87590026855469
385,2022,2022-02-20,1750,7,-117.08470916748048,32.753032684326165
386,2022,2022-02-17,1840,4,-117.12272644042967,32.792606353759766
387,2022,2022-02-15,1115,2,-117.02577972412108,32.8031005859375
388,2022,2022-02-19,1230,6,-117.1435317993164,32.89067077636719
389,2022,2022-02-19,2011,6,-117.14495086669922,32.74644470214844
390,2022,2022-01-14,1608,5,-117.19205474853516,32.79861831665039
391,2022,2022-01-19,1340,3,-117.13886260986328,32.760990142822266
392,2022,2022-01-22,811,6,-117.09873199462892,32.749614715576165
393,2022,2022-01-30,15,7,-117.13926696777344,32.75030517578125
394,2022,2022-02-11,1818,5,-117.14376831054688,32.752925872802734
395,2022,2022-02-12,1237,6,-117.15416717529295,32.773582458496094
396,2022,2022-02-25,55,5,-117.1740951538086,32.69593811035156
397,2022,2022-02-17,846,4,-117.09261322021484,33.026634216308594
398,2022,2022-03-05,2307,6,-117.16864776611328,32.74980163574219
399,2022,2022-04-10,1750,7,-117.16207885742188,32.72510528564453
400,2022,2022-04-08,950,5,-117.23012542724608,32.72209167480469
401,2022,2022-03-03,1455,4,-117.11312866210938,32.916717529296875
402,2022,2022-03-01,1300,2,-117.05960845947266,32.81712341308594
403,2022,2022-03-15,2042,2,-117.16380310058594,32.71255111694336
404,2022,2022-03-07,1206,1,-117.06771850585938,32.75201416015625
405,2022,2022-04-07,752,4,-117.20087432861328,32.92723083496094
406,2022,2022-03-11,1856,5,-117.15554809570312,32.712589263916016
407,2022,2022-03-12,2356,6,-117.2526397705078,32.77965545654297
408,2022,2022-02-11,1740,5,-117.06373596191406,32.728912353515625
409,2022,2022-04-01,1040,5,-117.12931823730467,32.73923873901367
