id,neighbourhood,latitude,longitude,room_type,price
992009,Mission Bay,32.786821349231886,-117.25250096363142,Entire home/apt,275
998231,Linda Vista,32.7813,-117.18205,Entire home/apt,300
1001069,Little Italy,32.72142,-117.16605,Entire home/apt,150
1034805,Pacific Beach,32.80629,-117.24603,Entire home/apt,349
1037247,La Jolla,32.82882,-117.27689,Entire home/apt,120
1050799,Pacific Beach,32.80781,-117.24965,Entire home/apt,635
1063149,North Hills,32.75169,-117.13169,Entire home/apt,296
1072842,Balboa Park,32.72254,-117.12924,Entire home/apt,129
1080319,Mission Bay,32.76117,-117.24918,Entire home/apt,355
1080326,Mission Bay,32.76047,-117.24995,Entire home/apt,530
1080335,Mission Bay,32.76104,-117.2495,Entire home/apt,950
1083576,North Hills,32.74577,-117.13193,Entire home/apt,136
1101470,Balboa Park,32.71847,-117.14397,Entire home/apt,87
1108080,North Hills,32.74355,-117.13709,Entire home/apt,264
1109171,North Hills,32.74672,-117.12161,Entire home/apt,130
1132780,Loma Portal,32.74079,-117.23962,Entire home/apt,129
1133487,Ocean Beach,32.75296,-117.24718,Entire home/apt,159
1166766,Bay Park,32.78337,-117.19911,Entire home/apt,794
1167130,Old Town,32.74569,-117.18702,Entire home/apt,1250
1183323,Mission Bay,32.78385925292969,-117.2520751953125,Entire home/apt,392
1198495,La Jolla,32.84386,-117.27335,Entire home/apt,425
1233047,Roseville,32.72637,-117.23791,Entire home/apt,295
1246698,South Park,32.72632,-117.12641,Entire home/apt,210
1252651,Ocean Beach,32.74276,-117.25235,Entire home/apt,275
1255655,Mission Valley,32.77351,-117.14657,Entire home/apt,211
1284694,Grant Hill,32.71084,-117.14251,Entire home/apt,120
1301778,Ocean Beach,32.748878479003906,-117.2509765625,Entire home/apt,412
1309621,Mission Bay,32.76643753051758,-117.2522964477539,Entire home/apt,493
1316496,Pacific Beach,32.80727,-117.25695,Entire home/apt,293
1344209,Loma Portal,32.74315,-117.24113,Entire home/apt,357
1374898,West University Heights,32.7631,-117.14528,Entire home/apt,95
1388706,Del Mar Heights,32.93485,-117.25528,Entire home/apt,435
1393531,Ocean Beach,32.7521,-117.2501,Entire home/apt,1344
1399003,Little Italy,32.72021,-117.16694,Entire home/apt,127
1399627,Rancho Penasquitos,32.94723,-117.1143,Entire home/apt,145
1402502,Pacific Beach,32.79729,-117.25606,Entire home/apt,148
1417446,North Hills,32.74531509031788,-117.13865134466973,Entire home/apt,159
1467726,North Hills,32.74447,-117.13937,Entire home/apt,142
1471989,Bay Park,32.78725,-117.19874,Entire home/apt,225
1479166,Ocean Beach,32.75159,-117.25048,Entire home/apt,350
1482943,Park West,32.73005770092135,-117.16300282761824,Entire home/apt,153
1484257,Pacific Beach,32.80003,-117.2366,Entire home/apt,302
1487384,La Jolla,32.82294,-117.23845,Entire home/apt,1127
1493005,Grant Hill,32.7072,-117.14632,Entire home/apt,109
1508327,Mission Bay,32.78531,-117.25386,Entire home/apt,375
1511791,Mission Bay,32.78574,-117.254,Entire home/apt,615
1511818,Mission Bay,32.78568,-117.25392,Entire home/apt,316
1526733,West University Heights,32.76029,-117.14143,Entire home/apt,110
1552090,College Area,32.77189,-117.05322,Entire home/apt,75
1570908,Bay Park,32.79125,-117.20184,Entire home/apt,214
1573662,Midtown,32.74461,-117.17871,Entire home/apt,900
1576848,North Clairemont,32.83825,-117.19443,Entire home/apt,355
1579303,Mission Bay,32.76264,-117.25021,Entire home/apt,363
1579313,North Hills,32.73098,-117.12606,Entire home/apt,120
1589977,La Jolla,32.82229,-117.2676,Entire home/apt,202
1602553,Grant Hill,32.71139,-117.14231,Entire home/apt,99
1629836,East Village,32.71076202392578,-117.15489959716795,Entire home/apt,149
1632229,Mission Bay,32.78433,-117.25137,Entire home/apt,186
1646885,Midtown,32.74141,-117.17774,Entire home/apt,128
1650100,Mission Bay,32.77275,-117.2508,Entire home/apt,352
1672059,Pacific Beach,32.80348,-117.23679,Entire home/apt,147
1687571,South Park,32.72111,-117.12341,Entire home/apt,150
1688434,Northwest,32.64847,-117.08617,Entire home/apt,98
1696519,Pacific Beach,32.80259,-117.24146,Entire home/apt,194
1707839,Kensington,32.77018,-117.10637,Entire home/apt,440
1712953,Mission Bay,32.78531,-117.25401,Entire home/apt,402
1713214,Mission Bay,32.78524,-117.25375,Entire home/apt,330
1717642,Midtown,32.74064,-117.17361,Entire home/apt,185
1725503,Midtown,32.7441,-117.14994,Entire home/apt,180
1728300,Mission Bay,32.77265,-117.25075,Entire home/apt,341
1731316,Midtown,32.74226,-117.17433,Entire home/apt,96
1742509,Mission Bay,32.76416,-117.2515,Entire home/apt,125
1742633,Mission Bay,32.76416,-117.2515,Entire home/apt,135
1743101,Grant Hill,32.71276,-117.14387,Entire home/apt,110
1746543,North Hills,32.74027,-117.12716,Entire home/apt,179
1746666,North Hills,32.74043,-117.12706,Entire home/apt,149
1750470,North Hills,32.74054,-117.1274,Entire home/apt,159
1751176,North Hills,32.74086,-117.12829,Entire home/apt,285
1751254,North Hills,32.74051,-117.12782,Entire home/apt,189
1752549,Ocean Beach,32.75133,-117.24466,Entire home/apt,258
1752551,Loma Portal,32.75008,-117.24284,Entire home/apt,212
1785920,Old Town,32.75649,-117.18874,Entire home/apt,349
1792566,Ocean Beach,32.74056,-117.25191,Entire home/apt,179
1811134,Mission Bay,32.7677,-117.25116,Entire home/apt,269
1811602,Mission Bay,32.78522,-117.25389,Entire home/apt,419
1831431,North Hills,32.73898,-117.12886,Entire home/apt,228
1851985,Ocean Beach,32.73481,-117.24957,Entire home/apt,712
1868816,Pacific Beach,32.80175,-117.25532,Entire home/apt,203
1873103,Mission Bay,32.78052,-117.25318,Entire home/apt,753
1880748,East Village,32.70879,-117.15637,Entire home/apt,155
1891351,Midtown,32.7451,-117.15332,Entire home/apt,432
1891783,North Hills,32.75618,-117.13058,Entire home/apt,89
1892515,La Jolla,32.8093,-117.25843,Entire home/apt,199
1898027,Mission Bay,32.78574,-117.25386,Entire home/apt,476
1906705,University City,32.86645,-117.20333,Entire home/apt,245
1917510,Little Italy,32.72614,-117.16853,Entire home/apt,95
1956508,Ocean Beach,32.75358,-117.24973,Entire home/apt,228
1960851,Mission Bay,32.78159,-117.25227,Entire home/apt,306
1970250,Pacific Beach,32.80741,-117.25703,Entire home/apt,277
1970541,Bay Park,32.79151,-117.20133,Entire home/apt,95
1984267,Pacific Beach,32.80291,-117.24146,Entire home/apt,137
2005108,West University Heights,32.76491,-117.14072,Entire home/apt,158
2020499,Bay Ho,32.82037,-117.21092,Entire home/apt,569
2043138,Pacific Beach,32.79872,-117.2573,Entire home/apt,265
2055118,Marina,32.71204,-117.166924,Entire home/apt,200
2057123,Moreno Mission,32.76622,-117.18934,Entire home/apt,185
2083989,Loma Portal,32.74974,-117.2416,Entire home/apt,78
2092631,Park West,32.72905,-117.1613,Entire home/apt,202
2111974,North Hills,32.74719,-117.13262,Entire home/apt,165
2150364,Mission Bay,32.77819,-117.2532,Entire home/apt,144
2150980,Mission Bay,32.78766,-117.25299,Entire home/apt,1496
2150987,Normal Heights,32.765,-117.11758,Entire home/apt,288
2151531,Mission Bay,32.77813,-117.2532,Entire home/apt,725
2153431,Mission Bay,32.76582,-117.25129,Entire home/apt,389
2153882,Mission Bay,32.76335,-117.25159,Entire home/apt,375
2164379,North Hills,32.76512,-117.13188,Entire home/apt,126
2214453,Mission Bay,32.76636,-117.25105,Entire home/apt,243
2221674,Loma Portal,32.74362,-117.2359,Entire home/apt,372
2222269,Mission Bay,32.58179,-117.03184,Entire home/apt,575
2222902,Mission Bay,32.78391,-117.25155,Entire home/apt,501
2223857,Mission Bay,32.78391,-117.25155,Entire home/apt,510
2223910,Mission Bay,32.79045,-117.23346,Entire home/apt,404
2228529,Balboa Park,32.71778,-117.14451,Entire home/apt,176
2262132,Mission Bay,32.76011,-117.2496,Entire home/apt,999
2303470,Talmadge,32.765217,-117.093178,Entire home/apt,168
2345741,Roseville,32.72607,-117.23269,Entire home/apt,472
2360713,University City,32.87453,-117.21928,Entire home/apt,250
2362084,Mission Bay,32.78945,-117.2531,Entire home/apt,367
2368033,Clairemont Mesa,32.82905,-117.19261,Entire home/apt,120
2385601,Mission Bay,32.7771,-117.25179,Entire home/apt,588
2395974,Mission Bay,32.78168,-117.25132,Entire home/apt,505
2396129,Mission Bay,32.78156,-117.25123,Entire home/apt,655
2396438,Mission Bay,32.78201,-117.25134,Entire home/apt,586
2396477,Mission Bay,32.78139,-117.25212,Entire home/apt,470
2396517,Mission Bay,32.78258,-117.25134,Entire home/apt,473
2396568,Mission Bay,32.78391,-117.25155,Entire home/apt,650
2418835,Mission Bay,32.78391,-117.25155,Entire home/apt,553
2425702,Balboa Park,32.71705,-117.14244,Entire home/apt,112
2437027,Pacific Beach,32.80893,-117.25787,Entire home/apt,262
2463167,North Hills,32.75301,-117.14232,Entire home/apt,190
2464739,Ocean Beach,32.75057,-117.25004,Entire home/apt,228
2477615,Mission Bay,32.78664,-117.239845,Entire home/apt,1272
2479263,Little Italy,32.72281,-117.1677,Entire home/apt,220
2493673,Mission Bay,32.77443,-117.25056,Entire home/apt,2475
2493692,Mission Bay,32.78412,-117.25174,Entire home/apt,485
2494569,Mission Bay,32.77305,-117.2504,Entire home/apt,411
2495375,Mission Bay,32.7748,-117.2525,Entire home/apt,583
2495693,Mission Bay,32.7748,-117.2524,Entire home/apt,718
2508568,Mission Bay,32.763119,-117.250954,Entire home/apt,278
2528690,Talmadge,32.76339,-117.09284,Entire home/apt,369
2540298,North Hills,32.73772,-117.13299,Entire home/apt,85
2546692,North Hills,32.73884,-117.1271,Entire home/apt,135
2551607,Pacific Beach,32.79674,-117.23085,Entire home/apt,581
2557750,Gaslamp Quarter,32.70904,-117.16071,Entire home/apt,135
2582718,Mission Bay,32.7676,-117.25137,Entire home/apt,276
2598921,East Village,32.70948,-117.15443,Entire home/apt,115
2606578,North Hills,32.74547,-117.13853,Entire home/apt,81
2607752,Old Town,32.75295,-117.17132,Entire home/apt,178
2620322,Mission Bay,32.76181,-117.24737,Entire home/apt,229
2633036,El Cerritos,32.7585,-117.06831,Entire home/apt,97
2636301,West University Heights,32.75524,-117.15737,Entire home/apt,314
2664145,Mission Bay,32.77631,-117.25298,Entire home/apt,908
2679898,Mission Bay,32.78574,-117.25231,Entire home/apt,650
2693032,Mission Bay,32.78574,-117.25231,Entire home/apt,600
2694364,Pacific Beach,32.80392,-117.25783,Entire home/apt,257
2695376,Ocean Beach,32.7447,-117.24796,Entire home/apt,128
2695464,Gaslamp Quarter,32.70942,-117.16031,Entire home/apt,99
2695883,Mission Bay,32.78574,-117.25231,Entire home/apt,540
2695962,Mission Bay,32.78573,-117.2526,Entire home/apt,585
2703885,Mission Bay,32.79063,-117.24229,Entire home/apt,707
2730356,Serra Mesa,32.79449,-117.12947,Entire home/apt,103
2747722,Mission Bay,32.78291,-117.25227,Entire home/apt,179
2763850,Loma Portal,32.75284,-117.22798,Entire home/apt,125
2771788,North Hills,32.75693,-117.12949,Entire home/apt,190
2801479,Rancho Bernadino,33.0215,-117.06887,Entire home/apt,181
2811554,Mission Bay,32.785456203363665,-117.2533230868603,Entire home/apt,275
2842251,Talmadge,32.76207,-117.09376,Entire home/apt,201
2847699,Old Town,32.751,-117.17552,Entire home/apt,166
2872652,Midtown,32.74264,-117.17747,Entire home/apt,150
2877472,Mission Bay,32.78432,-117.25132,Entire home/apt,307
2908382,Midtown,32.74824,-117.16465,Entire home/apt,132
2910056,Ocean Beach,32.74353,-117.2497,Entire home/apt,375
2929077,East Village,32.71014,-117.15819,Entire home/apt,179
2934995,Mission Bay,32.77305,-117.2504,Entire home/apt,662
2934998,Clairemont Mesa,32.82321,-117.17928,Entire home/apt,250
2956374,North Hills,32.74969,-117.12928,Entire home/apt,147
2996178,Midtown,32.73365,-117.1722,Entire home/apt,395
3006192,Mission Bay,32.7773,-117.2526,Entire home/apt,318
3006289,La Jolla,32.83900451660156,-117.27586364746094,Entire home/apt,336
3016720,La Jolla,32.83900451660156,-117.27586364746094,Entire home/apt,350
3039560,North Hills,32.75012,-117.13219,Entire home/apt,100
3049232,La Jolla,32.81923,-117.27313,Entire home/apt,1149
3053045,La Jolla,32.83409881591797,-117.27647399902344,Entire home/apt,440
3060283,Del Mar Heights,32.93634,-117.24355,Entire home/apt,170
3068306,Old Town,32.74905,-117.19281,Entire home/apt,272
3080062,North Hills,32.74348,-117.13309,Entire home/apt,118
3091769,North Hills,32.73545,-117.12164,Entire home/apt,603
3091801,Loma Portal,32.75129,-117.2294,Entire home/apt,103
3092314,Pacific Beach,32.8083,-117.25785,Entire home/apt,286
3093987,Grant Hill,32.71022,-117.14506,Entire home/apt,239
3095040,Loma Portal,32.73785,-117.23972,Entire home/apt,141
3096156,West University Heights,32.75466,-117.14939,Entire home/apt,225
3096262,West University Heights,32.75525,-117.15076,Entire home/apt,131
3096277,West University Heights,32.7552,-117.15151,Entire home/apt,118
3133590,Mission Bay,32.78291,-117.25227,Entire home/apt,243
3143981,Valencia Park,32.7081103,-117.0706049,Entire home/apt,129
3175848,Mission Bay,32.7882,-117.25431,Entire home/apt,677
3198657,Pacific Beach,32.79456,-117.24281,Entire home/apt,191
3231295,Pacific Beach,32.79585,-117.25596,Entire home/apt,313
3241905,Grant Hill,32.71249,-117.14254,Entire home/apt,110
3248519,La Jolla,32.83318,-117.28171,Entire home/apt,3000
3251105,Mission Bay,32.77359,-117.25267,Entire home/apt,217
3251193,Mission Bay,32.77247,-117.25164,Entire home/apt,460
3303256,Mission Bay,32.76416,-117.2515,Entire home/apt,135
3310803,Mission Bay,32.76416,-117.2515,Entire home/apt,113
3339913,Bay Park,32.78031,-117.20508,Entire home/apt,196
3364074,Midtown,32.74498,-117.15328,Entire home/apt,296
3386693,Ocean Beach,32.73864,-117.24686,Entire home/apt,117
3404401,Loma Portal,32.74646,-117.24525,Entire home/apt,259
3433681,East Village,32.72394,-117.15519,Entire home/apt,139
3458257,North Hills,32.74444,-117.14608,Entire home/apt,141
3479784,Pacific Beach,32.81126,-117.22671,Entire home/apt,325
3489714,North Hills,32.76476,-117.13555,Entire home/apt,79
3510645,Balboa Park,32.71568,-117.14438,Entire home/apt,196
3511316,Midtown,32.73902893066406,-117.16246032714844,Entire home/apt,546
3522000,Midtown,32.73903,-117.16246,Entire home/apt,279
3522006,Midtown,32.73902893066406,-117.16246032714844,Entire home/apt,241
3530257,Mission Bay,32.76745,-117.25136,Entire home/apt,340
3543408,Mission Bay,32.78078,-117.25209,Entire home/apt,247
3543996,Mission Bay,32.7867,-117.25256,Entire home/apt,1079
