neighbourhood,latitude,longitude,room_type,price
North Hills,32.74043,-117.12706,Entire home/apt,149
North Hills,32.74054,-117.1274,Entire home/apt,159
North Hills,32.74086,-117.12829,Entire home/apt,285
North Hills,32.74051,-117.12782,Entire home/apt,189
Ocean Beach,32.75133,-117.24466,Entire home/apt,258
Loma Portal,32.75008,-117.24284,Entire home/apt,212
Old Town,32.75649,-117.18874,Entire home/apt,349
Ocean Beach,32.74056,-117.25191,Entire home/apt,179
Mission Bay,32.7677,-117.25116,Entire home/apt,269
Mission Bay,32.78522,-117.25389,Entire home/apt,419
North Hills,32.73898,-117.12886,Entire home/apt,228
Ocean Beach,32.73481,-117.24957,Entire home/apt,712
Pacific Beach,32.80175,-117.25532,Entire home/apt,203
Mission Bay,32.78052,-117.25318,Entire home/apt,753
East Village,32.70879,-117.15637,Entire home/apt,155
Midtown,32.7451,-117.15332,Entire home/apt,432
North Hills,32.75618,-117.13058,Entire home/apt,89
La Jolla,32.8093,-117.25843,Entire home/apt,199
Mission Bay,32.78574,-117.25386,Entire home/apt,476
University City,32.86645,-117.20333,Entire home/apt,245
Little Italy,32.72614,-117.16853,Entire home/apt,95
Ocean Beach,32.75358,-117.24973,Entire home/apt,228
Mission Bay,32.78159,-117.25227,Entire home/apt,306
Pacific Beach,32.80741,-117.25703,Entire home/apt,277
Bay Park,32.79151,-117.20133,Entire home/apt,95
Pacific Beach,32.80291,-117.24146,Entire home/apt,137
West University Heights,32.76491,-117.14072,Entire home/apt,158
Bay Ho,32.82037,-117.21092,Entire home/apt,569
Pacific Beach,32.79872,-117.2573,Entire home/apt,265
Marina,32.71204,-117.166924,Entire home/apt,200
Moreno Mission,32.76622,-117.18934,Entire home/apt,185
Loma Portal,32.74974,-117.2416,Entire home/apt,78
Park West,32.72905,-117.1613,Entire home/apt,202
North Hills,32.74719,-117.13262,Entire home/apt,165
Mission Bay,32.77819,-117.2532,Entire home/apt,144
Mission Bay,32.78766,-117.25299,Entire home/apt,1496
Normal Heights,32.765,-117.11758,Entire home/apt,288
Mission Bay,32.77813,-117.2532,Entire home/apt,725
Mission Bay,32.76582,-117.25129,Entire home/apt,389
Mission Bay,32.76335,-117.25159,Entire home/apt,375
North Hills,32.76512,-117.13188,Entire home/apt,126
Mission Bay,32.76636,-117.25105,Entire home/apt,243
Loma Portal,32.74362,-117.2359,Entire home/apt,372
Mission Bay,32.58179,-117.03184,Entire home/apt,575
Mission Bay,32.78391,-117.25155,Entire home/apt,501
Mission Bay,32.78391,-117.25155,Entire home/apt,510
Mission Bay,32.79045,-117.23346,Entire home/apt,404
Balboa Park,32.71778,-117.14451,Entire home/apt,176
Mission Bay,32.76011,-117.2496,Entire home/apt,999
Talmadge,32.765217,-117.093178,Entire home/apt,168
Roseville,32.72607,-117.23269,Entire home/apt,472
University City,32.87453,-117.21928,Entire home/apt,250
Mission Bay,32.78945,-117.2531,Entire home/apt,367
Clairemont Mesa,32.82905,-117.19261,Entire home/apt,120
Mission Bay,32.7771,-117.25179,Entire home/apt,588
Mission Bay,32.78168,-117.25132,Entire home/apt,505
Mission Bay,32.78156,-117.25123,Entire home/apt,655
Mission Bay,32.78201,-117.25134,Entire home/apt,586
Mission Bay,32.78139,-117.25212,Entire home/apt,470
Mission Bay,32.78258,-117.25134,Entire home/apt,473
Mission Bay,32.78391,-117.25155,Entire home/apt,650
Mission Bay,32.78391,-117.25155,Entire home/apt,553
Balboa Park,32.71705,-117.14244,Entire home/apt,112
Pacific Beach,32.80893,-117.25787,Entire home/apt,262
