Number,Collision_Date,Collision_Time,Day_Of_Week,Longitude,Latitude
93,2021-12-20,17:02:07,Monday,-117.1638,32.71255
94,2022-02-24,07:01:05,Thursday,-117.09031,32.96412
95,2021-07-08,08:04:05,Thursday,-117.17839,32.87767
96,2021-08-09,09:05:05,Monday,-117.11682,32.70445
97,2021-08-21,10:05:08,Saturday,-117.19601,32.74592
98,2021-09-20,10:02:00,Monday,-117.0986,32.79115
99,2021-10-19,07:04:05,Tuesday,-117.16303,32.73136
100,2021-11-09,08:00:05,Tuesday,-117.07946,32.751
101,2020-11-13,17:02:00,Friday,-117.17258,32.83399
102,2021-03-19,16:05:09,Friday,-117.14433,32.7014
103,2021-03-26,08:04:05,Friday,-117.19332,32.82858
104,2021-04-12,17:05:03,Monday,-117.16386,32.72201
105,2021-04-28,03:02:03,Wednesday,-117.06448,32.75286
106,2021-06-13,10:03:07,Sunday,-117.07287,32.74914
107,2020-04-18,23:05:07,Saturday,-117.09068,32.59524
108,2020-05-16,20:00:03,Saturday,-117.16137,32.79121
109,2020-08-05,19:04:04,Wednesday,-117.14644,32.77343
110,2020-09-29,14:00:06,Tuesday,-117.13927,32.7673
111,2020-09-17,14:02:09,Thursday,-117.20946,32.7504
112,2020-10-20,13:03:03,Tuesday,-117.23019,32.80912
113,2022-04-09,09:01:00,Saturday,-117.08741,32.59532
114,2022-05-10,01:01:00,Tuesday,-117.20232,32.88382
115,2022-05-18,22:04:00,Wednesday,-117.16016,32.71397
116,2022-06-25,23:05:05,Saturday,-117.11287,32.77141
117,2022-09-27,04:03:02,Tuesday,-117.23631,32.84119
118,2022-10-02,22:03:05,Sunday,-117.16011,32.70797
119,2021-06-21,07:04:00,Monday,-117.09479,32.69889
120,2021-07-09,08:02:05,Friday,-117.16479,32.72457
121,2021-07-19,15:00:06,Monday,-117.02435,32.84105
122,2021-07-18,18:03:00,Sunday,-117.13885,32.69843
123,2021-07-27,11:01:05,Tuesday,-117.14082,32.83278
124,2021-08-01,10:03:00,Sunday,-116.9118,32.63518
125,2020-09-24,16:05:03,Thursday,-117.15649,32.7471
126,2020-11-06,18:00:07,Friday,-117.07521,32.77948
127,2021-01-23,21:01:08,Saturday,-117.11937,32.71067
128,2021-04-23,15:02:00,Friday,-117.03529,32.85075
129,2021-04-23,12:05:00,Friday,-117.2514,32.97578
130,2021-06-05,09:04:00,Saturday,-117.20448,32.76207
131,2022-09-07,13:03:06,Wednesday,-117.16293,32.72198
132,2020-03-10,15:01:05,Tuesday,-117.14775,32.71171
133,2020-04-10,04:05:01,Friday,-117.1292,32.76785
134,2020-07-03,03:05:00,Friday,-117.24426,32.95387
135,2020-07-25,17:03:08,Saturday,-117.06548,32.72925
137,2022-09-24,15:04:09,Saturday,-117.25939,32.81653
138,2022-07-28,05:01:08,Thursday,-117.14037,32.69331
139,2022-11-27,18:03:08,Sunday,-117.25308,32.79513
140,2022-09-07,12:04:02,Wednesday,-117.11041,32.75713
141,2022-12-04,21:02:01,Sunday,-117.144,32.91282
142,2022-09-18,22:01:06,Sunday,-117.14486,32.70628
143,2022-01-26,07:03:00,Wednesday,-117.23509,32.75167
144,2022-03-30,22:00:05,Wednesday,-117.2086,32.76713
145,2022-04-26,08:04:04,Tuesday,-117.19064,32.82641
146,2022-06-13,06:02:06,Monday,-117.10155,32.7802
147,2022-07-13,12:03:05,Wednesday,-117.11382,32.91032
148,2021-09-12,21:00:01,Sunday,-117.20163,32.89255
149,2021-07-02,11:01:09,Friday,-117.13264,32.75338
150,2021-07-30,16:03:09,Friday,-117.07975,32.74375
151,2021-07-31,17:01:09,Saturday,-117.22697,32.80274
152,2021-10-10,23:02:00,Sunday,-117.16672,32.75518
153,2021-10-12,19:00:06,Tuesday,-117.2268,32.72562
154,2021-11-24,17:04:04,Wednesday,-117.11113,32.7889
155,2020-11-04,18:03:00,Wednesday,-117.15038,32.71262
