NUMBER,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE
4915,2022,2022-07-10,1200,7,-117.15984344482422,32.75713348388672
4916,2022,2022-07-10,1555,7,-117.13929748535156,32.69874954223633
4917,2020,2020-11-05,956,4,-117.2059326171875,32.767730712890625
4918,2020,2020-11-02,340,1,-117.20858001708984,32.7684440612793
4919,2020,2020-11-05,2102,4,-117.15560913085938,32.715721130371094
4920,2020,2020-11-05,1146,4,-117.19068908691406,32.9630012512207
4921,2022,2022-07-13,735,3,-117.02960968017578,32.682159423828125
4922,2022,2022-07-16,1235,6,-117.2131805419922,32.75876235961914
4923,2022,2022-07-19,815,2,-117.11750793457033,32.7427978515625
4924,2022,2022-07-20,850,3,-117.17888641357422,32.849090576171875
4925,2022,2022-07-04,1800,1,-117.18008422851562,32.74130630493164
4926,2022,2022-07-18,1812,1,-117.1093978881836,32.841636657714844
4927,2022,2022-07-06,1845,3,-117.18813323974608,32.7452278137207
4928,2022,2022-07-20,1830,3,-117.12688446044922,32.77360534667969
4929,2022,2022-07-16,1325,6,-117.2148666381836,32.75852584838867
4930,2022,2022-07-08,155,5,-117.20767211914062,32.774505615234375
4931,2022,2022-07-18,1400,1,-117.07344818115234,32.72584533691406
4932,2022,2022-07-14,405,4,-117.07418823242188,32.658199310302734
4933,2022,2022-07-15,1007,5,-117.15055084228516,32.80421829223633
4934,2022,2022-07-22,545,5,-117.09203338623048,32.68695831298828
4935,2022,2022-07-06,810,3,-117.14884185791016,32.8385124206543
4936,2022,2022-07-26,1720,2,-117.11702728271484,32.84862518310547
4937,2022,2022-07-26,1459,2,-117.12094879150392,32.7039909362793
4938,2022,2022-07-26,845,2,-117.12844848632812,32.76660919189453
4939,2022,2022-07-27,1900,3,-117.15972900390624,32.75697326660156
4940,2022,2022-07-21,2007,4,-117.03978729248048,32.57305145263672
4941,2022,2022-04-03,2256,7,-117.13072204589844,32.713592529296875
4942,2022,2022-07-20,2156,3,-117.0998992919922,32.71082305908203
4943,2022,2022-07-21,1120,4,-117.1477508544922,32.71097946166992
4944,2022,2022-07-28,1512,4,-117.1443328857422,32.78403091430664
4945,2022,2022-07-28,1540,4,-117.05547332763672,32.7773323059082
4946,2022,2022-07-10,349,7,-117.12055206298828,32.71650314331055
4947,2022,2022-07-22,1823,5,-117.11241149902344,32.73430633544922
4948,2022,2022-07-08,1543,5,-117.10896301269533,32.7563591003418
4949,2022,2022-07-26,725,2,-117.12019348144533,32.70235824584961
4950,2022,2022-07-29,1325,5,-117.1281509399414,32.694419860839844
4951,2022,2022-07-29,1640,5,-117.1090087890625,32.74934387207031
4952,2022,2022-07-30,1425,6,-117.11620330810548,32.71660614013672
4953,2022,2022-07-24,1502,7,-117.11221313476562,32.773414611816406
