id,neighbourhood,latitude,longitude,room_type,price
133,La Jolla,32.82882,-117.27689,Entire home/apt,120
134,Pacific Beach,32.80781,-117.24965,Entire home/apt,635
135,North Hills,32.75169,-117.13169,Entire home/apt,296
137,Balboa Park,32.72254,-117.12924,Entire home/apt,129
138,Mission Bay,32.76117,-117.24918,Entire home/apt,355
139,Mission Bay,32.76047,-117.24995,Entire home/apt,530
140,Mission Bay,32.76104,-117.2495,Entire home/apt,950
141,North Hills,32.74577,-117.13193,Entire home/apt,136
142,Balboa Park,32.71847,-117.14397,Entire home/apt,87
143,North Hills,32.74355,-117.13709,Entire home/apt,264
144,North Hills,32.74672,-117.12161,Entire home/apt,130
147,Loma Portal,32.74079,-117.23962,Entire home/apt,129
148,Ocean Beach,32.75296,-117.24718,Entire home/apt,159
149,Bay Park,32.78337,-117.19911,Entire home/apt,794
150,Old Town,32.74569,-117.18702,Entire home/apt,1250
151,Mission Bay,32.78385925292969,-117.2520751953125,Entire home/apt,392
153,La Jolla,32.84386,-117.27335,Entire home/apt,425
154,Roseville,32.72637,-117.23791,Entire home/apt,295
155,South Park,32.72632,-117.12641,Entire home/apt,210
156,Ocean Beach,32.74276,-117.25235,Entire home/apt,275
157,Mission Valley,32.77351,-117.14657,Entire home/apt,211
158,Grant Hill,32.71084,-117.14251,Entire home/apt,120
160,Ocean Beach,32.748878479003906,-117.2509765625,Entire home/apt,412
161,Mission Bay,32.76643753051758,-117.2522964477539,Entire home/apt,493
162,Pacific Beach,32.80727,-117.25695,Entire home/apt,293
164,Loma Portal,32.74315,-117.24113,Entire home/apt,357
167,West University Heights,32.7631,-117.14528,Entire home/apt,95
169,Del Mar Heights,32.93485,-117.25528,Entire home/apt,435
170,Ocean Beach,32.7521,-117.2501,Entire home/apt,1344
172,Little Italy,32.72021,-117.16694,Entire home/apt,127
173,Rancho Penasquitos,32.94723,-117.1143,Entire home/apt,145
174,Pacific Beach,32.79729,-117.25606,Entire home/apt,148
175,North Hills,32.74531509031788,-117.13865134466973,Entire home/apt,159
177,North Hills,32.74447,-117.13937,Entire home/apt,142
178,Bay Park,32.78725,-117.19874,Entire home/apt,225
179,Ocean Beach,32.75159,-117.25048,Entire home/apt,350
180,Park West,32.73005770092135,-117.16300282761824,Entire home/apt,153
181,Pacific Beach,32.80003,-117.2366,Entire home/apt,302
182,La Jolla,32.82294,-117.23845,Entire home/apt,1127
183,Grant Hill,32.7072,-117.14632,Entire home/apt,109
184,Mission Bay,32.78531,-117.25386,Entire home/apt,375
185,Mission Bay,32.78574,-117.254,Entire home/apt,615
186,Mission Bay,32.78568,-117.25392,Entire home/apt,316
187,West University Heights,32.76029,-117.14143,Entire home/apt,110
188,College Area,32.77189,-117.05322,Entire home/apt,75
